type,startDate,endDate,value
feature_appleStandTime,2023-09-13 10:05:00 +0000,2023-09-13 10:10:00 +0000,1.0
feature_appleStandTime,2023-09-13 09:05:00 +0000,2023-09-13 09:10:00 +0000,2.0
feature_appleStandTime,2023-09-13 08:00:00 +0000,2023-09-13 08:05:00 +0000,1.0
feature_appleStandTime,2023-09-13 07:55:00 +0000,2023-09-13 08:00:00 +0000,3.0
feature_appleStandTime,2023-09-13 07:50:00 +0000,2023-09-13 07:55:00 +0000,1.0
feature_appleStandTime,2023-09-13 07:35:00 +0000,2023-09-13 07:40:00 +0000,1.0
feature_appleStandTime,2023-09-13 07:30:00 +0000,2023-09-13 07:35:00 +0000,3.0
feature_appleStandTime,2023-09-13 07:25:00 +0000,2023-09-13 07:30:00 +0000,5.0
feature_appleStandTime,2023-09-13 07:20:00 +0000,2023-09-13 07:25:00 +0000,3.0
feature_appleStandTime,2023-09-13 07:15:00 +0000,2023-09-13 07:20:00 +0000,2.0
feature_appleStandTime,2023-09-11 06:45:00 +0000,2023-09-11 06:50:00 +0000,1.0
feature_appleStandTime,2023-09-11 06:40:00 +0000,2023-09-11 06:45:00 +0000,1.0
feature_appleStandTime,2023-09-11 06:15:00 +0000,2023-09-11 06:20:00 +0000,2.0
feature_appleStandTime,2023-09-11 05:50:00 +0000,2023-09-11 05:55:00 +0000,1.0
feature_appleStandTime,2023-09-11 05:45:00 +0000,2023-09-11 05:50:00 +0000,2.0
feature_appleStandTime,2023-09-11 05:40:00 +0000,2023-09-11 05:45:00 +0000,1.0
feature_appleStandTime,2023-09-11 05:30:00 +0000,2023-09-11 05:35:00 +0000,4.0
feature_appleStandTime,2023-09-11 05:25:00 +0000,2023-09-11 05:30:00 +0000,1.0
feature_appleStandTime,2023-09-11 05:20:00 +0000,2023-09-11 05:25:00 +0000,1.0
feature_appleStandTime,2023-09-11 05:15:00 +0000,2023-09-11 05:20:00 +0000,4.0
feature_appleStandTime,2023-09-10 07:20:00 +0000,2023-09-10 07:25:00 +0000,3.0
feature_appleStandTime,2023-09-10 07:15:00 +0000,2023-09-10 07:20:00 +0000,5.0
feature_appleStandTime,2023-09-10 07:10:00 +0000,2023-09-10 07:15:00 +0000,5.0
feature_appleStandTime,2023-09-10 07:05:00 +0000,2023-09-10 07:10:00 +0000,5.0
feature_appleStandTime,2023-09-10 07:00:00 +0000,2023-09-10 07:05:00 +0000,5.0
feature_appleStandTime,2023-09-10 06:55:00 +0000,2023-09-10 07:00:00 +0000,5.0
feature_appleStandTime,2023-09-10 06:50:00 +0000,2023-09-10 06:55:00 +0000,5.0
feature_appleStandTime,2023-09-10 06:45:00 +0000,2023-09-10 06:50:00 +0000,3.0
feature_appleStandTime,2023-09-09 21:35:00 +0000,2023-09-09 21:40:00 +0000,1.0
feature_appleStandTime,2023-09-09 21:30:00 +0000,2023-09-09 21:35:00 +0000,4.0
feature_appleStandTime,2023-09-09 21:25:00 +0000,2023-09-09 21:30:00 +0000,1.0
feature_appleStandTime,2023-09-09 21:10:00 +0000,2023-09-09 21:15:00 +0000,2.0
feature_appleStandTime,2023-09-09 20:55:00 +0000,2023-09-09 21:00:00 +0000,1.0
feature_appleStandTime,2023-09-09 20:15:00 +0000,2023-09-09 20:20:00 +0000,3.0
feature_appleStandTime,2023-09-09 18:55:00 +0000,2023-09-09 19:00:00 +0000,1.0
feature_appleStandTime,2023-09-09 18:50:00 +0000,2023-09-09 18:55:00 +0000,4.0
feature_appleStandTime,2023-09-09 18:40:00 +0000,2023-09-09 18:45:00 +0000,1.0
feature_appleStandTime,2023-09-09 18:05:00 +0000,2023-09-09 18:10:00 +0000,1.0
feature_appleStandTime,2023-09-09 17:40:00 +0000,2023-09-09 17:45:00 +0000,1.0
feature_appleStandTime,2023-09-09 17:35:00 +0000,2023-09-09 17:40:00 +0000,1.0
feature_appleStandTime,2023-09-09 17:30:00 +0000,2023-09-09 17:35:00 +0000,1.0
feature_appleStandTime,2023-09-09 17:15:00 +0000,2023-09-09 17:20:00 +0000,1.0
feature_appleStandTime,2023-09-09 16:25:00 +0000,2023-09-09 16:30:00 +0000,1.0
feature_appleStandTime,2023-09-09 16:20:00 +0000,2023-09-09 16:25:00 +0000,2.0
feature_appleStandTime,2023-09-09 14:50:00 +0000,2023-09-09 14:55:00 +0000,1.0
feature_appleStandTime,2023-09-09 14:45:00 +0000,2023-09-09 14:50:00 +0000,2.0
feature_appleStandTime,2023-09-09 14:35:00 +0000,2023-09-09 14:40:00 +0000,1.0
feature_appleStandTime,2023-09-09 14:30:00 +0000,2023-09-09 14:35:00 +0000,1.0
feature_appleStandTime,2023-09-09 13:25:00 +0000,2023-09-09 13:30:00 +0000,1.0
feature_appleStandTime,2023-09-09 13:10:00 +0000,2023-09-09 13:15:00 +0000,1.0
feature_appleStandTime,2023-09-09 13:05:00 +0000,2023-09-09 13:10:00 +0000,1.0
